# GroupLab range-statistic table, docs/STATISTICS.md sections 5 and 15.3. Generated by `grouplab stats range-table` with seed 20260914.
# Groups of n shots from a circular bivariate normal with sigma 1, statistics averaged over nGroups groups: ES extreme spread,
# FoM figure of merit, D bounding-box diagonal, RS Rayleigh sigma with the c4 correction. M mean, SD standard deviation, Q025 and Q975 quantiles.
n,nGroups,replications,ES_M,ES_SD,ES_Q025,ES_Q975,FoM_M,FoM_SD,FoM_Q025,FoM_Q975,D_M,D_SD,D_Q025,D_Q975,RS_M,RS_SD,RS_Q025,RS_Q975
18,1,10000000,4.359620232151283,0.6796195264064647,3.1617428399388747,5.823679882462485,3.640292441801419,0.5222435165209787,2.687743875770814,4.732482267147788,5.199408270287743,0.7490140626600652,3.8358029504692506,6.768324102220303,1.0000269032689226,0.1217166611037114,0.7689219719477818,1.245432417622506
19,1,10000000,4.406620823420276,0.674397382266531,3.2185949222365084,5.8611823986559966,3.6889945384688696,0.5187196464705557,2.7435401501390992,4.774185834182751,5.266890530939471,0.7438288150289656,3.913353434048016,6.825310965543017,1.0000300730731482,0.11824428574797222,0.7752060566102461,1.238080268658002
20,1,10000000,4.451252640389479,0.669423444718055,3.2733693091575415,5.895969774713982,3.7350680605735502,0.5152195035713848,2.7964047818515323,4.813529274226262,5.330829493345568,0.7387317674351465,3.9871533714711336,6.879436998555367,1.000016212063987,0.11504808440393,0.781145921012651,1.2315968680273595
21,1,10000000,4.493111572175518,0.6650204343637526,3.3238755806578713,5.928434832232243,3.7782982294815928,0.5121482235977926,2.8454799081232878,4.850272771424593,5.390800664327731,0.7342736802402492,4.056038390103054,6.93001770338589,0.9999979892985796,0.11219656248040236,0.7863946300984599,1.2258230532726397
22,1,10000000,4.5329297665058705,0.6606310507535766,3.3724144362697337,5.960637706084457,3.8194564337387895,0.509063063087237,2.8921804558675213,4.885224104691605,5.44796086745903,0.7297913991501926,4.121159442689416,6.978319448632195,1.0000042233944115,0.10944328448598005,0.7915318053787448,1.2199786919410027
23,1,10000000,4.570630349131437,0.6566237983446979,3.4173480288808875,5.9902012632038835,3.8583402711649515,0.5061986821569205,2.936428866699172,4.918683494242288,5.502001611778653,0.725663117132024,4.182968449594481,7.024319920907901,1.0000530458639902,0.10693207793807927,0.796157814453552,1.2149702149389854
24,1,10000000,4.606093052345356,0.6531347710293854,3.4596537103387996,6.018456970141172,3.894901644539679,0.503710467159395,2.9777504288535233,4.949595060167311,5.552810011368059,0.7220255556692282,4.240890650274587,7.067530056010955,0.9999296756232089,0.10456907397445953,0.800444315764776,1.2099433814255431
25,1,10000000,4.64061132499794,0.6489190521722278,3.5016454343725125,6.044383265263108,3.930607935955997,0.5009903797893837,3.01871107679969,4.979960865091299,5.602487011746901,0.7180513910220823,4.297928922877604,7.109114183128901,0.9999810766780606,0.10231164019084928,0.8045020655675678,1.205280051752321
26,1,10000000,4.672883039396787,0.6458619523707179,3.5405875662640667,6.070609619943622,3.9641050922334515,0.49855401285986173,3.056816255610784,5.008375986663896,5.649041110350554,0.7145635107067059,4.351001006732769,7.1482690040419135,0.9999620128483759,0.10026573478753995,0.8084049523219615,1.20110796063896
27,1,10000000,4.70423435815652,0.6425260196925056,3.578074346485969,6.095470125805195,3.9964576337403948,0.4961179245048688,3.0936420146757198,5.035714253721867,5.694082643797387,0.7110197488518168,4.4029697944056085,7.185806622775865,0.9999710962615144,0.09830666468931049,0.8120806136921498,1.1970769333435667
28,1,10000000,4.734151993433842,0.6395727846185076,3.6138521342252634,6.119746322563323,4.0276054375914905,0.49406622609304196,3.1288677811269037,5.063340344107716,5.737439154979219,0.7080346900198038,4.4524598317853545,7.223966199840738,1.0000312683129051,0.09646115838564755,0.8156651740948795,1.1934112736363574
29,1,10000000,4.7625808515447385,0.6363158505884133,3.6482522107754174,6.141112586337154,4.056959450050141,0.49184367160338494,3.162407823942739,5.08838726974114,5.778283986341777,0.7047887044281347,4.499081833029129,7.258577520733001,0.999992705080084,0.09472597259488917,0.8187584150388957,1.1898988933599517
30,1,10000000,4.7901776218241645,0.6337865529863028,3.6809335075979477,6.164126302630603,4.0854413840315456,0.4899259881429191,3.1949214399477057,5.11306920199748,5.817949369443465,0.7020185177710362,4.5444926068485145,7.293004211212701,0.9999905018481663,0.09309517134910719,0.8217395628871659,1.1863728653614785
31,1,10000000,4.816352943298499,0.6305931792036342,3.7133993135175336,6.184385921556825,4.1129026871509495,0.48769524432673006,3.2263969617883212,5.136382976518287,5.856163218878817,0.6987744597983463,4.58848683675006,7.325029164943765,0.999981922430365,0.0914355127102239,0.8248106079330638,1.1830940980228417
